fecha,temp_max,temp_min,precip_mm
2024-01-01,13.5,5.8,0.0
2024-01-02,16.8,3.3,0.0
2024-01-03,20.1,11.1,0.0
2024-01-04,15.8,7.4,0.2
2024-01-05,14.8,9.0,19.3
2024-01-06,14.9,6.8,1.7
2024-01-07,13.8,5.4,0.0
2024-01-08,11.5,1.8,0.0
2024-01-09,10.3,-0.4,0.0
2024-01-10,10.3,5.3,6.7
2024-01-11,11.0,2.7,0.0
2024-01-12,13.4,4.0,0.0
2024-01-13,12.9,2.7,0.0
2024-01-14,15.9,4.4,0.0
2024-01-15,17.0,6.2,0.0
2024-01-16,17.4,6.3,0.0
2024-01-17,17.5,8.9,1.5
2024-01-18,20.0,13.1,0.0
2024-01-19,14.1,7.5,10.1
2024-01-20,12.4,3.5,0.1
2024-01-21,13.7,1.7,0.0
2024-01-22,15.5,1.8,0.0
2024-01-23,15.3,4.1,0.0
2024-01-24,17.3,5.6,0.0
2024-01-25,18.8,6.3,0.0
2024-01-26,20.1,7.3,0.0
2024-01-27,16.4,6.1,0.0
2024-01-28,13.9,6.5,0.0
2024-01-29,14.8,7.4,0.2
2024-01-30,15.1,8.8,0.1
2024-01-31,15.0,4.8,0.0
2024-02-01,17.1,5.3,0.0
2024-02-02,17.7,5.2,0.0
2024-02-03,19.2,5.2,0.0
2024-02-04,19.6,5.8,0.0
2024-02-05,18.8,5.5,0.0
2024-02-06,15.3,6.6,0.1
2024-02-07,18.3,5.6,0.0
2024-02-08,20.1,8.5,0.0
2024-02-09,15.8,11.2,2.8
2024-02-10,16.0,8.1,5.7
2024-02-11,16.0,8.1,0.0
2024-02-12,19.4,5.6,0.5
2024-02-13,15.5,6.9,0.1
2024-02-14,18.8,5.4,0.0
2024-02-15,16.7,9.4,0.0
2024-02-16,16.8,9.9,0.8
2024-02-17,20.8,10.5,1.1
2024-02-18,17.4,7.2,0.0
2024-02-19,17.4,9.9,0.0
2024-02-20,18.1,7.0,0.0
2024-02-21,17.1,6.1,0.0
2024-02-22,20.2,9.3,0.0
2024-02-23,15.2,8.3,6.5
2024-02-24,14.5,5.2,0.4
2024-02-25,14.3,5.0,0.0
2024-02-26,15.9,8.8,0.0
2024-02-27,15.8,6.2,1.5
2024-02-28,16.5,8.1,0.0
2024-02-29,17.4,4.2,0.0
2024-03-01,18.0,8.7,3.7
2024-03-02,16.3,7.1,0.1
2024-03-03,15.5,5.8,16.9
2024-03-04,16.6,5.6,0.0
2024-03-05,15.9,6.7,0.2
2024-03-06,14.3,7.1,0.1
2024-03-07,14.5,4.8,0.1
2024-03-08,15.4,9.2,5.3
2024-03-09,13.2,7.5,21.4
2024-03-10,15.7,5.5,0.2
2024-03-11,17.9,7.2,0.1
2024-03-12,14.5,5.0,0.0
2024-03-13,17.3,5.5,0.0
2024-03-14,16.7,5.0,0.0
2024-03-15,16.0,8.9,0.2
2024-03-16,17.7,10.7,0.0
2024-03-17,19.1,9.3,0.0
2024-03-18,17.7,9.7,0.0
2024-03-19,18.8,10.5,0.0
2024-03-20,18.0,10.7,0.0
2024-03-21,17.4,11.6,0.0
2024-03-22,21.8,11.3,0.0
2024-03-23,19.1,9.8,0.0
2024-03-24,15.1,12.1,0.0
2024-03-25,14.3,11.3,4.7
