fecha,temp_max,temp_min,precip_mm
2024-01-01,10.1,5.8,8.3
2024-01-02,12.9,8.8,9.6
2024-01-03,10.4,6.4,2.3
2024-01-04,8.2,4.9,27.7
2024-01-05,7.1,4.4,4.6
2024-01-06,6.3,3.8,0.2
2024-01-07,4.7,1.5,0.0
2024-01-08,3.3,1.0,0.7
2024-01-09,4.0,0.6,0.0
2024-01-10,4.8,0.4,0.0
2024-01-11,5.5,-0.9,0.0
2024-01-12,6.8,3.8,0.0
2024-01-13,4.4,1.5,0.0
2024-01-14,5.7,1.6,1.6
2024-01-15,2.5,-4.0,0.0
2024-01-16,3.8,-4.5,0.0
2024-01-17,2.4,-2.3,0.0
2024-01-18,2.5,-5.1,0.0
2024-01-19,4.8,-3.8,0.0
2024-01-20,5.2,-0.9,0.0
2024-01-21,11.8,4.2,1.3
2024-01-22,12.4,6.8,6.0
2024-01-23,12.9,4.1,2.9
2024-01-24,12.9,6.7,0.1
2024-01-25,11.8,3.6,0.1
2024-01-26,12.1,2.5,1.6
2024-01-27,8.4,-0.4,0.0
2024-01-28,10.8,1.4,0.0
2024-01-29,12.9,7.7,0.0
2024-01-30,12.6,5.9,0.0
2024-01-31,10.9,3.2,0.4
2024-02-01,10.8,2.3,0.2
2024-02-02,12.6,3.0,0.0
2024-02-03,12.8,10.2,0.7
2024-02-04,13.2,9.9,0.1
2024-02-05,11.5,7.3,0.0
2024-02-06,13.2,10.5,5.8
2024-02-07,11.2,4.5,12.3
2024-02-08,12.2,2.9,16.1
2024-02-09,12.6,9.2,7.0
2024-02-10,11.4,7.7,3.3
2024-02-11,10.5,4.4,7.3
2024-02-12,9.1,2.0,0.0
2024-02-13,11.4,3.7,2.6
2024-02-14,13.9,10.6,2.2
2024-02-15,16.6,10.5,1.1
2024-02-16,12.9,6.8,2.0
2024-02-17,13.3,5.6,0.7
2024-02-18,14.8,8.1,13.2
2024-02-19,13.2,6.2,2.2
2024-02-20,11.9,5.4,0.1
2024-02-21,11.9,8.8,3.5
2024-02-22,11.6,3.4,11.5
2024-02-23,8.4,1.9,2.0
2024-02-24,8.1,-1.6,1.6
2024-02-25,8.9,-0.2,2.9
2024-02-26,8.6,3.3,1.4
2024-02-27,7.6,1.8,0.5
2024-02-28,10.8,5.5,1.3
2024-02-29,10.9,5.9,8.3
2024-03-01,8.4,3.2,6.6
2024-03-02,8.0,1.6,2.2
2024-03-03,9.0,-1.0,0.0
2024-03-04,11.1,-0.8,1.0
2024-03-05,10.6,4.3,1.9
2024-03-06,10.5,2.2,0.0
2024-03-07,10.4,2.9,0.3
2024-03-08,9.6,3.7,0.0
2024-03-09,12.8,6.4,0.4
2024-03-10,9.1,7.2,8.5
2024-03-11,10.4,6.6,2.0
2024-03-12,13.4,6.3,13.3
2024-03-13,13.1,10.1,0.5
2024-03-14,16.2,8.3,1.2
2024-03-15,14.3,9.8,1.3
2024-03-16,13.3,5.1,1.3
2024-03-17,15.2,9.2,6.4
2024-03-18,14.6,7.6,0.2
2024-03-19,12.4,9.8,0.2
2024-03-20,16.1,9.9,0.8
2024-03-21,14.4,5.8,0.0
2024-03-22,11.7,5.8,0.4
2024-03-23,9.7,3.3,1.7
2024-03-24,11.4,5.2,0.0
2024-03-25,11.6,3.2,0.9
2024-03-26,13.7,6.2,10.9
2024-03-27,11.0,5.0,3.9
2024-03-28,10.4,4.5,10.2
2024-03-29,12.9,7.2,5.0
2024-03-30,14.1,3.7,0.0
2024-03-31,12.0,5.1,0.3
2024-04-01,13.4,6.7,6.0
2024-04-02,14.2,7.9,4.3
2024-04-03,13.9,9.6,0.7
2024-04-04,14.9,9.4,3.5
2024-04-05,16.5,11.9,5.5
2024-04-06,19.4,13.1,0.1
2024-04-07,15.4,10.2,0.0
2024-04-08,17.0,8.6,1.7
2024-04-09,11.7,7.4,0.5
2024-04-10,12.9,4.5,1.7
2024-04-11,18.4,12.1,0.4
2024-04-12,19.4,9.8,0.0
2024-04-13,18.6,10.4,0.0
2024-04-14,13.8,7.8,0.0
2024-04-15,11.4,6.6,4.6
2024-04-16,13.0,5.5,4.6
2024-04-17,11.2,4.2,0.5
2024-04-18,12.6,3.2,0.9
2024-04-19,13.6,7.6,1.2
2024-04-20,10.2,3.2,0.2
2024-04-21,10.6,3.7,0.0
2024-04-22,8.1,3.0,1.0
2024-04-23,10.9,5.9,1.5
2024-04-24,9.1,2.4,0.0
2024-04-25,12.0,1.2,4.2
2024-04-26,11.9,2.0,0.0
2024-04-27,12.1,6.6,7.5
2024-04-28,11.4,6.6,14.0
2024-04-29,14.6,5.8,0.3
2024-04-30,17.4,7.2,0.4
2024-05-01,19.1,8.0,0.1
2024-05-02,19.6,10.6,2.5
2024-05-03,12.6,9.2,9.0
2024-05-04,15.4,6.8,2.7
2024-05-05,16.5,6.1,0.3
2024-05-06,15.2,7.8,9.7
2024-05-07,19.1,8.6,0.5
