fecha,temp_max,temp_min,precip_mm
2024-01-01,9.4,3.1,0.0
2024-01-02,9.1,1.8,0.1
2024-01-03,12.4,8.7,2.0
2024-01-04,10.8,7.4,9.6
2024-01-05,8.4,4.8,1.0
2024-01-06,8.2,3.2,0.0
2024-01-07,8.9,-0.8,0.0
2024-01-08,7.3,-2.6,0.0
2024-01-09,8.9,2.5,0.2
2024-01-10,7.4,2.7,1.9
2024-01-11,7.5,0.5,0.5
2024-01-12,7.3,-2.2,0.0
2024-01-13,9.4,0.1,0.0
2024-01-14,9.9,3.0,1.1
2024-01-15,14.7,8.4,14.1
2024-01-16,15.0,11.0,1.7
2024-01-17,12.1,9.8,16.3
2024-01-18,14.0,9.3,1.5
2024-01-19,9.8,4.2,30.7
2024-01-20,9.8,1.4,0.0
2024-01-21,11.4,2.0,0.0
2024-01-22,12.6,0.9,0.0
2024-01-23,13.8,3.0,0.0
2024-01-24,16.6,3.5,0.0
2024-01-25,16.7,3.8,0.0
2024-01-26,18.0,4.0,0.0
2024-01-27,17.5,5.2,0.0
2024-01-28,16.1,3.7,0.0
2024-01-29,14.3,4.3,0.0
2024-01-30,13.1,3.2,0.0
2024-01-31,12.0,2.9,0.0
2024-02-01,17.2,3.5,0.0
2024-02-02,15.0,3.1,0.0
2024-02-03,15.2,2.8,0.0
2024-02-04,16.2,1.8,0.0
2024-02-05,14.9,1.4,0.0
2024-02-06,15.1,4.1,0.0
2024-02-07,11.9,3.3,1.1
2024-02-08,11.9,7.3,1.1
2024-02-09,12.8,8.1,13.7
2024-02-10,10.6,5.0,1.1
2024-02-11,9.1,1.4,1.3
2024-02-12,15.6,5.6,0.2
2024-02-13,16.1,6.7,0.1
2024-02-14,17.1,8.2,0.0
2024-02-15,15.9,8.2,5.4
2024-02-16,15.8,7.8,0.9
2024-02-17,16.6,2.2,0.0
2024-02-18,16.4,2.7,0.0
2024-02-19,18.8,4.6,0.0
2024-02-20,18.6,3.2,0.0
2024-02-21,17.4,2.0,0.0
2024-02-22,12.9,7.3,2.6
2024-02-23,10.1,2.0,1.3
2024-02-24,10.4,1.9,2.3
2024-02-25,13.6,5.6,0.6
2024-02-26,11.2,5.7,1.6
2024-02-27,11.1,3.1,0.0
2024-02-28,13.6,1.5,0.0
2024-02-29,15.6,0.9,0.0
2024-03-01,12.2,2.1,0.0
2024-03-02,9.3,4.1,6.8
2024-03-03,9.9,1.9,1.5
2024-03-04,12.7,4.1,0.7
2024-03-05,13.4,3.1,0.0
2024-03-06,13.9,-0.2,0.0
2024-03-07,13.4,3.5,9.4
2024-03-08,10.4,3.5,5.6
2024-03-09,8.4,3.5,13.4
2024-03-10,12.0,4.2,2.6
2024-03-11,13.1,5.5,0.0
2024-03-12,15.2,2.0,0.0
2024-03-13,17.9,4.0,0.0
2024-03-14,16.5,5.3,0.0
2024-03-15,18.0,4.6,0.3
2024-03-16,18.6,6.9,0.0
2024-03-17,21.1,7.7,0.0
2024-03-18,21.5,8.4,0.0
2024-03-19,23.8,9.1,0.0
2024-03-20,22.2,9.6,2.1
2024-03-21,24.4,11.5,0.1
2024-03-22,26.2,10.6,0.0
2024-03-23,25.0,10.1,0.0
2024-03-24,24.3,9.2,0.0
2024-03-25,16.4,10.6,13.3
2024-03-26,9.9,3.8,3.7
2024-03-27,13.1,4.6,4.4
2024-03-28,15.4,7.2,4.6
2024-03-29,11.8,4.7,22.6
2024-03-30,11.1,3.5,9.6
2024-03-31,10.9,5.2,10.1
2024-04-01,12.4,3.4,0.6
2024-04-02,14.1,3.6,0.3
2024-04-03,17.5,8.6,0.4
2024-04-04,19.6,5.4,0.0
2024-04-05,22.4,6.9,0.0
2024-04-06,23.8,10.4,0.0
2024-04-07,22.0,12.0,2.0
2024-04-08,17.7,9.6,0.3
2024-04-09,15.1,4.1,0.0
2024-04-10,19.7,4.5,0.0
2024-04-11,25.6,7.2,0.0
2024-04-12,24.2,8.3,0.0
2024-04-13,26.9,9.0,0.0
2024-04-14,27.0,10.1,0.0
2024-04-15,29.0,12.1,0.0
2024-04-16,27.5,10.4,0.0
2024-04-17,21.8,8.4,0.0
2024-04-18,22.4,7.6,0.0
2024-04-19,22.4,5.6,0.0
2024-04-20,24.4,9.1,0.0
2024-04-21,23.8,8.4,0.0
2024-04-22,19.2,6.3,0.0
2024-04-23,18.4,3.0,0.0
2024-04-24,20.2,4.0,0.0
2024-04-25,19.7,7.3,0.2
2024-04-26,17.5,7.9,0.0
2024-04-27,14.4,8.9,14.8
2024-04-28,16.6,4.4,0.5
2024-04-29,17.1,6.7,0.5
2024-04-30,17.8,6.9,0.0
2024-05-01,14.7,7.2,3.0
2024-05-02,15.8,5.1,0.1
2024-05-03,18.6,5.1,0.0
2024-05-04,23.0,8.4,0.0
2024-05-05,20.6,11.8,0.3
2024-05-06,20.5,11.0,0.7
2024-05-07,24.6,7.8,0.0
2024-05-08,24.9,8.9,0.0
2024-05-09,27.2,9.9,0.0
2024-05-10,28.9,12.3,0.0
2024-05-11,28.6,13.8,0.0
2024-05-12,28.0,13.9,0.2
2024-05-13,27.0,13.4,0.7
2024-05-14,20.4,11.1,0.8
2024-05-15,19.0,8.8,0.0
2024-05-16,18.1,7.5,0.0
2024-05-17,19.1,10.6,0.6
2024-05-18,22.2,8.3,0.0
2024-05-19,20.8,8.9,2.1
2024-05-20,21.2,8.0,1.6
2024-05-21,20.5,9.6,5.9
2024-05-22,21.4,8.8,0.0
2024-05-23,25.0,9.1,0.0
2024-05-24,27.5,11.1,0.0
2024-05-25,29.2,12.1,0.0
2024-05-26,29.4,12.1,0.0
